date,latitude,longitude,enginetemp
2015-07-31 07:13:29,43.444480896,-80.5460434,20
2015-07-31 07:13:32,43.444465637,-80.54601288,20
2015-07-31 07:13:36,43.444465637,-80.54601288,20
2015-07-31 07:13:39,43.444458008,-80.54600525,20
2015-07-31 07:13:42,43.444458008,-80.54600525,20
2015-07-31 07:13:45,43.444450378,-80.54598236,20
2015-07-31 07:13:48,43.444450378,-80.54598236,20
2015-07-31 07:13:51,43.444438934,-80.5459671,20
2015-07-31 07:13:54,43.444438934,-80.5459671,20
2015-07-31 07:13:57,43.44442749,-80.54595184,20
2015-07-31 07:14:00,43.44442749,-80.54595184,20
2015-07-31 07:14:03,43.444416046,-80.54592896,20
2015-07-31 07:14:06,43.444416046,-80.54592896,20
2015-07-31 07:14:09,43.444404602,-80.5459137,20
2015-07-31 07:14:12,43.444404602,-80.5459137,20
2015-07-31 07:14:15,43.444396973,-80.54589081,20
2015-07-31 07:14:18,43.444396973,-80.54589081,20
2015-07-31 07:14:21,43.444389343,-80.54587555,20
2015-07-31 07:14:25,43.444389343,-80.54587555,20
2015-07-31 07:14:28,43.444377899,-80.54586029,20
2015-07-31 07:14:31,43.444377899,-80.54586029,20
2015-07-31 07:14:34,43.444423676,-80.54636383,20
2015-07-31 07:14:37,43.444423676,-80.54636383,20
2015-07-31 07:14:40,43.444416046,-80.5463562,20
2015-07-31 07:14:43,43.444416046,-80.5463562,20
2015-07-31 07:14:46,43.444404602,-80.54633331,20
2015-07-31 07:14:49,43.444404602,-80.54633331,20
2015-07-31 07:14:52,43.444396973,-80.54632568,20
2015-07-31 07:14:55,43.444396973,-80.54632568,20
2015-07-31 07:14:58,43.444404602,-80.54633331,20
2015-07-31 07:15:01,43.444404602,-80.54633331,20
2015-07-31 07:15:04,43.444400787,-80.54631805,20
2015-07-31 07:15:07,43.444400787,-80.54631805,20
2015-07-31 07:15:10,43.444393158,-80.5463028,20
2015-07-31 07:15:14,43.444393158,-80.5463028,20
2015-07-31 07:15:17,43.44437027,-80.54627228,20
2015-07-31 07:15:20,43.44437027,-80.54627228,20
2015-07-31 07:15:23,43.44436264,-80.54624939,20
2015-07-31 07:15:26,43.44436264,-80.54624939,20
2015-07-31 07:15:29,43.444351196,-80.54623413,20
2015-07-31 07:15:32,43.444351196,-80.54623413,20
2015-07-31 07:15:35,43.444339752,-80.54620361,20
2015-07-31 07:15:38,43.444339752,-80.54620361,20
2015-07-31 07:15:41,43.444328308,-80.54618835,20
2015-07-31 07:15:44,43.444328308,-80.54618835,20
2015-07-31 07:15:47,43.444324493,-80.5461731,20
2015-07-31 07:15:50,43.444324493,-80.5461731,20
2015-07-31 07:15:53,43.444316864,-80.54615784,20
2015-07-31 07:15:56,43.444316864,-80.54615784,20
2015-07-31 07:15:59,43.444309235,-80.54613495,20
2015-07-31 07:16:03,43.444309235,-80.54613495,20
2015-07-31 07:16:06,43.444301605,-80.54611969,20
2015-07-31 07:16:09,43.444301605,-80.54611969,20
2015-07-31 07:16:12,43.444290161,-80.5460968,20
2015-07-31 07:16:15,43.444290161,-80.5460968,20
2015-07-31 07:16:18,43.444282532,-80.54608154,20
2015-07-31 07:16:21,43.444282532,-80.54608154,20
2015-07-31 07:16:24,43.444274902,-80.54606628,20
2015-07-31 07:16:27,43.444274902,-80.54606628,20
2015-07-31 07:16:30,43.444263458,-80.54605103,20
2015-07-31 07:16:33,43.444263458,-80.54605103,20
2015-07-31 07:16:36,43.444255829,-80.54602814,20
2015-07-31 07:16:39,43.444255829,-80.54602814,20
2015-07-31 07:16:42,43.44424057,-80.54599762,20
2015-07-31 07:16:45,43.44424057,-80.54599762,20
2015-07-31 07:16:48,43.444229126,-80.54598236,20
2015-07-31 07:16:51,43.444229126,-80.54598236,20
2015-07-31 07:16:55,43.444217682,-80.5459671,20
2015-07-31 07:16:58,43.444217682,-80.5459671,20
2015-07-31 07:17:01,43.444206238,-80.54593658,20
2015-07-31 07:17:04,43.444206238,-80.54593658,20
2015-07-31 07:17:07,43.444194794,-80.54592133,20
2015-07-31 07:17:10,43.444194794,-80.54592133,20
2015-07-31 07:17:13,43.444187164,-80.54590607,20
2015-07-31 07:17:16,43.444187164,-80.54590607,20
2015-07-31 07:17:19,43.444179535,-80.54588318,20
2015-07-31 07:17:22,43.444179535,-80.54588318,20
2015-07-31 07:17:25,43.444168091,-80.54586792,20
2015-07-31 07:17:28,43.444168091,-80.54586792,20
2015-07-31 07:17:31,43.444156647,-80.54584503,20
2015-07-31 07:17:34,43.444156647,-80.54584503,20
2015-07-31 07:17:37,43.444149017,-80.54582977,20
2015-07-31 07:17:41,43.444149017,-80.54582977,20
2015-07-31 07:17:44,43.444133759,-80.54580688,20
2015-07-31 07:17:47,43.444133759,-80.54580688,20
2015-07-31 07:17:50,43.444122314,-80.545784,20
2015-07-31 07:17:53,43.444122314,-80.545784,20
2015-07-31 07:17:56,43.444114685,-80.54576874,20
2015-07-31 07:17:59,43.444114685,-80.54576874,20
2015-07-31 07:18:02,43.444103241,-80.54574585,20
